facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
69.0,An Neni Comprehensive Health Centre Nauth,Lc0UxCUN8HR,5.0,Anaocha,1.0,Aguata,,,2025-10-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
69.0,An Neni Comprehensive Health Centre Nauth,Lc0UxCUN8HR,5.0,Anaocha,1.0,Aguata,,,2025-10-08,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
69.0,An Neni Comprehensive Health Centre Nauth,Lc0UxCUN8HR,5.0,Anaocha,1.0,Aguata,,,2025-10-09,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,-15.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-19.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-02,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,-15.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-03,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-06,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-07,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-08,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-75.0
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-09,0.0,33.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,58.0,-58.0
